experiment,program,n,threads,rep,time_seconds,primes_found
vary_threads,task3,10000000,12,2,0.568257,664579
vary_threads,task2,10000000,12,3,0.580856,664579
vary_threads,task3,10000000,12,3,0.577140,664579
vary_threads,task2,10000000,16,1,0.564908,664579
vary_threads,task3,10000000,16,1,0.584834,664579
vary_threads,task2,10000000,16,2,0.681166,664579
vary_threads,task3,10000000,16,2,0.610788,664579
vary_threads,task2,10000000,16,3,0.558304,664579
vary_threads,task3,10000000,16,3,0.580476,664579
vary_threads,task2,10000000,24,1,0.576764,664579
vary_threads,task3,10000000,24,1,0.613360,664579
vary_threads,task2,10000000,24,2,0.565144,664579
vary_threads,task3,10000000,24,2,0.562071,664579
vary_threads,task2,10000000,24,3,0.606305,664579
vary_threads,task3,10000000,24,3,0.568294,664579
vary_threads,task2,10000000,32,1,0.579337,664579
vary_threads,task3,10000000,32,1,0.586351,664579
vary_threads,task2,10000000,32,2,0.580016,664579
vary_threads,task3,10000000,32,2,0.581626,664579
vary_threads,task2,10000000,32,3,0.564470,664579
vary_threads,task3,10000000,32,3,0.566719,664579
