experiment,program,n,threads,rep,time_seconds,primes_found
vary_n,task2,30000000,8,3,3.076278,1857859
vary_n,task3,30000000,8,3,2.674222,1857859
vary_n,task1,34000000,1,1,14.987966,2089379
vary_n,task2,34000000,8,1,3.833889,2089379
vary_n,task3,34000000,8,1,3.040606,2089379
vary_n,task1,34000000,1,2,14.882467,2089379
vary_n,task2,34000000,8,2,3.672822,2089379
vary_n,task3,34000000,8,2,3.014728,2089379
vary_n,task1,34000000,1,3,14.802246,2089379
vary_n,task2,34000000,8,3,3.690327,2089379
vary_n,task3,34000000,8,3,3.211677,2089379
vary_n,task1,38000000,1,1,17.378745,2318966
vary_n,task2,38000000,8,1,4.477773,2318966
vary_n,task3,38000000,8,1,3.431978,2318966
vary_n,task1,38000000,1,2,17.806408,2318966
vary_n,task2,38000000,8,2,4.346578,2318966
vary_n,task3,38000000,8,2,3.563264,2318966
vary_n,task1,38000000,1,3,17.334875,2318966
vary_n,task2,38000000,8,3,4.159808,2318966
vary_n,task3,38000000,8,3,3.629289,2318966
vary_n,task1,42000000,1,1,20.196762,2547620
vary_n,task2,42000000,8,1,5.244030,2547620
vary_n,task3,42000000,8,1,4.210709,2547620
vary_n,task1,42000000,1,2,20.133175,2547620
vary_n,task2,42000000,8,2,4.987092,2547620
vary_n,task3,42000000,8,2,4.071399,2547620
vary_n,task1,42000000,1,3,20.393934,2547620
vary_n,task2,42000000,8,3,4.923577,2547620
vary_n,task3,42000000,8,3,4.139052,2547620
vary_n,task1,46000000,1,1,22.886323,2775053
vary_n,task2,46000000,8,1,5.783551,2775053
vary_n,task3,46000000,8,1,4.707085,2775053
vary_n,task1,46000000,1,2,22.954119,2775053
vary_n,task2,46000000,8,2,5.661161,2775053
vary_n,task3,46000000,8,2,4.806770,2775053
vary_n,task1,46000000,1,3,22.931829,2775053
vary_n,task2,46000000,8,3,5.631051,2775053
vary_n,task3,46000000,8,3,4.478718,2775053
vary_n,task1,50000000,1,1,25.598411,3001134
vary_n,task2,50000000,8,1,6.453558,3001134
vary_n,task3,50000000,8,1,5.181337,3001134
vary_n,task1,50000000,1,2,25.569474,3001134
vary_n,task2,50000000,8,2,6.473180,3001134
vary_n,task3,50000000,8,2,5.317325,3001134
vary_n,task1,50000000,1,3,25.792713,3001134
vary_n,task2,50000000,8,3,6.333312,3001134
vary_n,task3,50000000,8,3,5.294207,3001134
vary_threads,task1,10000000,1,1,2.585374,664579
vary_threads,task1,10000000,1,2,2.711807,664579
vary_threads,task1,10000000,1,3,2.561126,664579
vary_threads,task2,10000000,1,1,2.737016,664579
vary_threads,task3,10000000,1,1,2.859823,664579
vary_threads,task2,10000000,1,2,2.679340,664579
vary_threads,task3,10000000,1,2,2.796726,664579
vary_threads,task2,10000000,1,3,2.723945,664579
vary_threads,task3,10000000,1,3,2.652923,664579
vary_threads,task2,10000000,2,1,1.841566,664579
vary_threads,task3,10000000,2,1,1.541899,664579
vary_threads,task2,10000000,2,2,1.726093,664579
vary_threads,task3,10000000,2,2,1.533959,664579
vary_threads,task2,10000000,2,3,1.904951,664579
vary_threads,task3,10000000,2,3,1.495469,664579
vary_threads,task2,10000000,3,1,1.355775,664579
vary_threads,task3,10000000,3,1,1.540419,664579
vary_threads,task2,10000000,3,2,1.329144,664579
vary_threads,task3,10000000,3,2,1.721538,664579
vary_threads,task2,10000000,3,3,1.278915,664579
vary_threads,task3,10000000,3,3,1.494482,664579
vary_threads,task2,10000000,4,1,1.159864,664579
vary_threads,task3,10000000,4,1,0.897913,664579
vary_threads,task2,10000000,4,2,1.105207,664579
vary_threads,task3,10000000,4,2,0.888644,664579
vary_threads,task2,10000000,4,3,1.099776,664579
vary_threads,task3,10000000,4,3,0.912526,664579
vary_threads,task2,10000000,5,1,0.891160,664579
vary_threads,task3,10000000,5,1,0.891244,664579
vary_threads,task2,10000000,5,2,0.848787,664579
vary_threads,task3,10000000,5,2,0.840101,664579
vary_threads,task2,10000000,5,3,0.945166,664579
vary_threads,task3,10000000,5,3,0.911257,664579
vary_threads,task2,10000000,6,1,0.827258,664579
vary_threads,task3,10000000,6,1,0.974763,664579
vary_threads,task2,10000000,6,2,0.809639,664579
vary_threads,task3,10000000,6,2,0.874595,664579
vary_threads,task2,10000000,6,3,0.841856,664579
vary_threads,task3,10000000,6,3,0.885890,664579
vary_threads,task2,10000000,7,1,0.682904,664579
vary_threads,task3,10000000,7,1,0.693366,664579
